ReferenceSystem,GrainID,Age_Ma,Age_1sigma_Ma
ZrnUPb,Ref001,74.4799538183111,0.5
ZrnUPb,Ref002,80.1126045543475,0.846732646657027
ZrnUPb,Ref003,71.1836920701473,0.5
ZrnUPb,Ref004,78.2618161511926,0.627427377137217
ZrnUPb,Ref005,77.9904829730264,0.836505225242313
ZrnUPb,Ref006,79.7507060820466,0.5
ZrnUPb,Ref007,81.5783806942705,0.933880403221927
ZrnUPb,Ref008,76.2791923641216,1.0802600205026
ZrnUPb,Ref009,78.2490376487747,1.23416874506284
ZrnUPb,Ref010,69.7648463792919,0.817668498285773
ZrnUPb,Ref011,60.5885181130474,0.591754182346742
ZrnUPb,Ref012,90.0424653455596,0.5
ZrnUPb,Ref013,76.358435803003,0.956244204196813
ZrnUPb,Ref014,80.2475839816673,1.15743217768041
ZrnUPb,Ref015,74.9522740468012,0.5
ZrnUPb,Ref016,67.2107956304581,1.28093287119315
ZrnUPb,Ref017,77.4407921040829,0.510404471900773
ZrnUPb,Ref018,73.6295856431613,0.924573913724371
ZrnUPb,Ref019,71.2244709107818,1.18285194452483
ZrnUPb,Ref020,74.9073149831384,1.41767278268842
ZrnUPb,Ref021,65.5100229366111,1.08935265623174
ZrnUPb,Ref022,76.2186503949332,1.21887938692472
ZrnUPb,Ref023,70.2801281498335,0.760389561193924
ZrnUPb,Ref024,80.0744934271698,1.13848755622432
ZrnUPb,Ref025,67.6619747058354,0.514093925058165
ZrnUPb,Ref026,74.5207543685443,1.22209211098343
ZrnUPb,Ref027,66.3575380647797,0.940688853583456
ZrnUPb,Ref028,65.3637370315859,1.23533411069068
ZrnUPb,Ref029,73.2442701656626,0.864040797881234
ZrnUPb,Ref030,74.2576903076079,0.939422968004797
ZrnUPb,Ref031,77.3554756245993,0.912130679725233
ZrnUPb,Ref032,70.4241854379341,1.06610912114171
ZrnUPb,Ref033,79.7837977666099,0.5
ZrnUPb,Ref034,87.1989763163639,0.525717430096316
ZrnUPb,Ref035,83.5608258771728,0.670533717570585
ZrnUPb,Ref036,64.1094694147359,0.64439232731675
ZrnUPb,Ref037,74.5261518045191,1.22466897270755
ZrnUPb,Ref038,70.8156311537691,0.725100150481662
ZrnUPb,Ref039,72.6113747757089,1.25407004185826
ZrnUPb,Ref040,84.7342074859316,0.735555581525703
ZrnUPb,Ref041,73.2479888028705,0.51921808444579
ZrnUPb,Ref042,74.9798759858678,1.10681984894166
ZrnUPb,Ref043,76.445186535367,0.945020497424975
ZrnUPb,Ref044,78.0933049008465,0.899171025053343
ZrnUPb,Ref045,76.4984079983737,0.912111287093057
ZrnUPb,Ref046,58.9242956777086,1.09974482938115
ZrnUPb,Ref047,73.5953782468431,0.729923028877916
ZrnUPb,Ref048,75.3393990611928,1.29972540614154
ZrnUPb,Ref049,121.612056061418,1.520995550869
ZrnUPb,Ref050,111.685239565957,0.917258442496793
ZrnUPb,Ref051,103.393089114124,1.22631118954771
ZrnUPb,Ref052,113.007199949989,1.05181085292803
ZrnUPb,Ref053,100.409750954826,1.4347986779715
ZrnUPb,Ref054,102.405639018752,0.94881887674376
ZrnUPb,Ref055,101.141658488201,1.45218914730035
ZrnUPb,Ref056,109.434824035924,1.17519528727297
ZrnUPb,Ref057,127.053203391975,0.877621886800411
ZrnUPb,Ref058,115.068269784906,0.892661706015866
ZrnUPb,Ref059,118.922759068455,0.994294264272804
ZrnUPb,Ref060,107.891243930508,1.21431524766586
ZrnUPb,Ref061,105.074523134239,1.04890087793388
ZrnUPb,Ref062,105.721519460875,1.34513988707901
ZrnUPb,Ref063,122.085322285259,1.14973511278099
ZrnUPb,Ref064,98.0968715835032,0.986981112264726
ZrnUPb,Ref065,119.176113160895,1.36347120668396
ZrnUPb,Ref066,112.134220506924,1.31409363822119
ZrnUPb,Ref067,109.521255309438,0.984644924293755
ZrnUPb,Ref068,114.905028266451,0.978285705885776
ZrnUPb,Ref069,109.630614042739,0.798805570101834
ZrnUPb,Ref070,120.259644505618,1.35290324920129
ZrnUPb,Ref071,123.684687747631,1.33078757647094
ZrnUPb,Ref072,107.717414010034,1.1731887981405
ZrnUPb,Ref073,97.6834712227872,1.5317824348785
ZrnUPb,Ref074,111.716600365202,1.42128832182958
ZrnUPb,Ref075,118.534843848055,1.30098432951471
ZrnUPb,Ref076,103.792799515509,1.50172580063967
ZrnUPb,Ref077,112.914591396271,0.963097507676311
ZrnUPb,Ref078,114.782706315873,1.10115140189541
ZrnUPb,Ref079,114.004150941475,0.817756175902444
ZrnUPb,Ref080,97.659700592752,1.01740635270567
ZrnUPb,Ref081,114.745882734725,1.21661256076152
ZrnUPb,Ref082,121.285773296989,1.33122285002362
ZrnUPb,Ref083,100.895494670648,0.787334505507901
ZrnUPb,Ref084,104.454265362196,1.00149515857319
ZrnUPb,Ref085,121.785295666762,1.17700619897906
ZrnUPb,Ref086,102.916545855074,1.35737648011619
ZrnUPb,Ref087,113.74697072309,1.12906802254365
ZrnUPb,Ref088,109.82358569817,1.20610705884977
ZrnUPb,Ref089,106.970588116385,0.765741473084506
ZrnUPb,Ref090,118.152604538988,0.960706455364904
ZrnUPb,Ref091,108.509986601637,1.56535306166537
ZrnUPb,Ref092,110.39854668521,1.63868642592176
